Modal Price ginger, Date
1000,2006/03/25
900,2006/05/14
850,2006/05/15
850,2006/05/16
850,2006/05/17
900,2006/05/21
850,2006/05/22
850,2006/05/23
900,2006/05/24
900,2006/05/25
950,2006/06/08
900,2006/06/09
900,2006/06/11
950,2006/06/12
3250,2006/06/26
1150,2006/07/05
1200,2006/07/27
1200,2006/07/30
1200,2006/07/31
1250,2006/08/01
1200,2006/08/02
1200,2006/08/03
1200,2006/08/09
1300,2006/08/11
1500,2006/08/13
1350,2006/08/16
1400,2006/08/31
1100,2006/09/12
1000,2006/09/13
850,2006/09/14
1100,2006/09/15
950,2006/09/18
1050,2006/09/19
950,2006/09/20
975,2006/10/01
950,2006/10/02
950,2006/10/03
1050,2006/10/23
1200,2006/10/24
1200,2006/10/25
1350,2006/10/26
1200,2006/10/27
1150,2006/10/27
1300,2006/10/29
1300,2006/10/30
1250,2006/10/31
1250,2006/11/02
1000,2006/11/03
900,2006/11/05
1000,2006/11/06
1050,2006/11/08
1150,2006/11/10
1100,2006/11/12
1100,2006/11/13
1075,2006/11/14
1000,2006/11/15
1025,2006/11/16
900,2006/11/17
1000,2006/11/19
950,2006/11/20
950,2006/11/22
950,2006/11/23
950,2006/11/24
1000,2006/12/05
950,2006/12/06
900,2006/12/07
900,2006/12/08
950,2006/12/10
950,2006/12/11
1000,2006/12/12
950,2006/12/13
950,2006/12/14
950,2006/12/15
950,2006/12/17
950,2006/12/18
900,2006/12/19
950,2006/12/20
850,2006/12/21
1300,2006/12/23
1000,2006/12/24
850,2006/12/25
950,2006/12/26
900,2006/12/27
950,2006/12/28
1000,2006/12/29
850,2006/12/31
850,2007/01/01
850,2007/01/02
800,2007/01/03
800,2007/01/04
800,2007/01/05
800,2007/01/07
850,2007/01/08
800,2007/01/09
800,2007/01/10
800,2007/01/11
850,2007/01/12
1100,2007/01/14
800,2007/01/15
800,2007/01/16
800,2007/01/17
800,2007/01/18
900,2007/01/19
850,2007/01/21
850,2007/01/22
900,2007/01/24
800,2007/01/25
800,2007/01/29
850,2007/01/30
800,2007/01/31
800,2007/02/01
900,2007/02/02
800,2007/02/04
1000,2007/02/04
900,2007/02/05
850,2007/02/06
800,2007/02/07
850,2007/02/08
800,2007/02/09
800,2007/02/12
900,2007/02/13
800,2007/02/14
800,2007/02/15
900,2007/02/16
900,2007/02/18
1100,2007/02/19
1000,2007/02/20
1000,2007/02/21
950,2007/02/22
950,2007/02/23
900,2007/02/26
950,2007/02/27
950,2007/02/28
1000,2007/03/01
950,2007/03/02
1000,2007/03/04
1100,2007/03/05
1000,2007/03/06
1150,2007/03/08
1100,2007/03/09
1250,2007/03/11
1200,2007/03/12
1300,2007/03/13
1300,2007/03/14
1250,2007/03/15
1250,2007/03/16
1200,2007/03/18
1200,2007/03/19
1150,2007/03/21
1150,2007/03/22
1150,2007/03/23
1400,2007/03/25
1100,2007/03/28
1100,2007/03/29
1050,2007/03/30
1100,2007/04/02
1050,2007/04/03
1000,2007/04/04
1000,2007/04/05
1000,2007/04/06
1150,2007/04/08
1100,2007/04/09
1100,2007/04/10
1050,2007/04/11
1050,2007/04/12
1050,2007/04/13
1050,2007/04/16
1100,2007/04/17
950,2007/04/18
1050,2007/04/19
1050,2007/04/20
1050,2007/04/23
1050,2007/04/24
1050,2007/04/25
1000,2007/04/26
1000,2007/04/27
1000,2007/04/29
1050,2007/04/30
1050,2007/05/02
1050,2007/05/03
1050,2007/05/04
1050,2007/05/06
950,2007/05/07
1050,2007/05/08
1050,2007/05/09
1200,2007/05/11
1250,2007/05/13
1300,2007/05/14
1200,2007/05/17
1100,2007/05/18
1100,2007/05/20
1100,2007/05/21
1100,2007/05/22
1050,2007/05/23
1050,2007/05/24
1050,2007/05/25
1175,2007/05/28
1150,2007/05/29
1000,2007/06/03
1300,2007/06/04
550,2007/06/04
1400,2007/06/05
1300,2007/06/07
1250,2007/06/08
1250,2007/06/10
1200,2007/06/11
1300,2007/06/12
1250,2007/06/13
1450,2007/06/17
1500,2007/06/18
1500,2007/06/19
1550,2007/06/20
1650,2007/06/21
1700,2007/06/24
1850,2007/06/25
1800,2007/06/26
2200,2007/06/29
2250,2007/07/02
2150,2007/07/04
1950,2007/07/05
2050,2007/07/06
2000,2007/07/09
1900,2007/07/10
2000,2007/07/11
1950,2007/07/12
1950,2007/07/13
1950,2007/07/15
2000,2007/07/16
1900,2007/07/17
1900,2007/07/18
1950,2007/07/20
1600,2007/07/23
1700,2007/07/24
1800,2007/07/25
1750,2007/07/26
1500,2007/07/26
1750,2007/07/27
1850,2007/07/30
1800,2007/07/31
1300,2007/08/01
1400,2007/08/01
1850,2007/08/02
1950,2007/08/05
2050,2007/08/06
1900,2007/08/07
1900,2007/08/08
2050,2007/08/09
2000,2007/08/13
2150,2007/08/14
1950,2007/08/16
1900,2007/08/17
2000,2007/08/21
1900,2007/08/23
1850,2007/08/24
1900,2007/08/26
1950,2007/08/27
1950,2007/08/28
2000,2007/08/29
1900,2007/08/30
2100,2007/08/31
1950,2007/09/02
2100,2007/09/03
2100,2007/09/05
2150,2007/09/06
2150,2007/09/07
2150,2007/09/09
2150,2007/09/10
2150,2007/09/11
2200,2007/09/12
2450,2007/09/13
2500,2007/09/14
2450,2007/09/16
2500,2007/09/17
2400,2007/09/18
2450,2007/09/19
2350,2007/09/20
2100,2007/09/21
2050,2007/09/23
2000,2007/09/24
2000,2007/09/25
2050,2007/09/27
2150,2007/09/30
2250,2007/10/01
2250,2007/10/03
2050,2007/10/04
2250,2007/10/05
1950,2007/10/07
2100,2007/10/08
2100,2007/10/09
1900,2007/10/12
1900,2007/10/14
2250,2007/10/15
2350,2007/10/19
2200,2007/10/21
2000,2007/10/22
2150,2007/10/23
2150,2007/10/25
2300,2007/10/26
2250,2007/10/28
2100,2007/10/29
2250,2007/10/30
2150,2007/10/31
2100,2007/11/01
2150,2007/11/02
1750,2007/11/04
1900,2007/11/06
2000,2007/11/07
1950,2007/11/08
2000,2007/11/12
2100,2007/11/13
2000,2007/11/14
1800,2007/11/15
2000,2007/11/16
2100,2007/11/18
2100,2007/11/19
2100,2007/11/20
2100,2007/11/21
2000,2007/11/23
2050,2007/11/25
2050,2007/11/27
2050,2007/11/28
2000,2007/11/29
2000,2007/11/30
2000,2007/12/10
2000,2007/12/11
2000,2007/12/12
2000,2007/12/14
1950,2007/12/16
2000,2007/12/17
1950,2007/12/18
2050,2007/12/19
2000,2007/12/21
1950,2007/12/23
2000,2008/01/01
1900,2008/01/06
2000,2008/01/07
1950,2008/01/08
2000,2008/01/11
1900,2008/01/13
1600,2008/01/14
2000,2008/01/15
2000,2008/01/16
2000,2008/01/18
2000,2008/01/20
2050,2008/01/21
2050,2008/01/22
2000,2008/01/23
2050,2008/01/24
2000,2008/01/25
2100,2008/01/27
2200,2008/01/30
2150,2008/01/31
2150,2008/02/01
2200,2008/02/03
2200,2008/02/04
2200,2008/02/05
2200,2008/02/06
2300,2008/02/07
2200,2008/02/11
2150,2008/02/12
2400,2008/02/13
2400,2008/02/14
2400,2008/02/15
2500,2008/02/15
2500,2008/02/16
2450,2008/02/17
2550,2008/02/18
2500,2008/02/20
2450,2008/02/21
2550,2008/02/22
2550,2008/02/24
2550,2008/02/25
2650,2008/02/26
2600,2008/02/27
2600,2008/02/28
2550,2008/02/29
2650,2008/03/03
2700,2008/03/04
2650,2008/03/07
2650,2008/03/09
2650,2008/03/10
2650,2008/03/11
2650,2008/03/13
2650,2008/03/14
2650,2008/03/18
2650,2008/03/19
2650,2008/03/20
2650,2008/03/21
2650,2008/03/23
2700,2008/03/24
2650,2008/03/25
2650,2008/03/26
2700,2008/03/27
2700,2008/03/28
2700,2008/03/30
2800,2008/03/31
2800,2008/04/01
2650,2008/04/02
2800,2008/04/03
2700,2008/04/04
2600,2008/04/13
2650,2008/04/14
2550,2008/04/15
2600,2008/04/18
2550,2008/04/21
2550,2008/04/22
2550,2008/04/23
2650,2008/04/27
2650,2008/04/28
2700,2008/04/29
2700,2008/04/30
2700,2008/05/07
2650,2008/05/08
2650,2008/05/09
2650,2008/05/11
2800,2008/05/12
2650,2008/05/13
2850,2008/05/14
2825,2008/05/15
3150,2008/05/16
3150,2008/05/18
3100,2008/05/19
3550,2008/05/20
3200,2008/05/25
3200,2008/05/26
3400,2008/05/27
3450,2008/05/28
3500,2008/05/29
3350,2008/05/30
3550,2008/06/02
3650,2008/06/03
3450,2008/06/04
3500,2008/06/05
3600,2008/06/10
3600,2008/06/11
3750,2008/06/12
3750,2008/06/13
3850,2008/06/15
3800,2008/06/16
3850,2008/06/17
4350,2008/06/20
3700,2008/06/25
3700,2008/06/27
3700,2008/06/29
4000,2008/06/30
4150,2008/07/02
3900,2008/07/03
4050,2008/07/06
4050,2008/07/07
4050,2008/07/08
4050,2008/07/10
4000,2008/07/11
4150,2008/07/13
4150,2008/07/14
4050,2008/07/21
3950,2008/07/22
3650,2008/07/25
3600,2008/07/27
3650,2008/07/28
3850,2008/07/29
3950,2008/07/30
3950,2008/07/31
3950,2008/08/04
4050,2008/08/08
3450,2008/08/10
4150,2008/08/11
3300,2008/08/12
3400,2008/08/13
3250,2008/08/14
3150,2008/08/20
3200,2008/08/21
2500,2008/08/26
3100,2008/09/04
2800,2008/09/07
2600,2008/09/08
2600,2008/09/09
2500,2008/09/10
2450,2008/09/11
2600,2008/09/16
2500,2008/09/17
2400,2008/09/18
2650,2008/09/19
2650,2008/09/21
2400,2008/09/23
2550,2008/09/26
2400,2008/09/28
1950,2008/09/29
2550,2008/09/30
2600,2008/10/01
2500,2008/10/02
2600,2008/10/03
2650,2008/10/05
2300,2008/10/06
2350,2008/10/07
2350,2008/10/09
2700,2008/10/10
2600,2008/10/12
2650,2008/10/13
2550,2008/10/16
1950,2008/10/20
2050,2008/10/24
1850,2008/10/26
2150,2008/10/27
2150,2008/10/28
2150,2008/10/31
2400,2008/11/02
2500,2008/11/03
2400,2008/11/04
2600,2008/11/05
2250,2008/11/09
2250,2008/11/10
2240,2008/11/11
2000,2008/11/13
2150,2008/11/14
2250,2008/11/17
2150,2008/11/19
2250,2008/11/20
2250,2008/11/21
2200,2008/11/23
2200,2008/11/24
2250,2008/11/26
2250,2008/11/27
2250,2008/11/30
2250,2008/12/01
2250,2008/12/02
2250,2008/12/03
2250,2008/12/04
2300,2008/12/07
2250,2008/12/09
2250,2008/12/11
2250,2008/12/12
2250,2008/12/14
2250,2008/12/15
2250,2008/12/16
2250,2008/12/17
2250,2008/12/18
2250,2008/12/19
2250,2008/12/21
2300,2008/12/22
2250,2008/12/23
2250,2008/12/24
2250,2008/12/25
2250,2008/12/26
2300,2008/12/28
2600,2008/12/30
2550,2008/12/31
2400,2009/01/01
2550,2009/01/02
2500,2009/01/04
2650,2009/01/05
2800,2009/01/11
2800,2009/01/12
3000,2009/01/13
2950,2009/01/14
2750,2009/01/15
2850,2009/01/16
2850,2009/01/18
2800,2009/01/19
3050,2009/01/20
2750,2009/01/21
2800,2009/01/22
3000,2009/01/23
2900,2009/01/25
2950,2009/01/30
2950,2009/02/01
2950,2009/02/02
2900,2009/02/03
2950,2009/02/04
2850,2009/02/05
2850,2009/02/06
2850,2009/02/09
2850,2009/02/11
2950,2009/02/15
2850,2009/02/16
2850,2009/02/17
2800,2009/02/18
2750,2009/02/19
2800,2009/02/24
2800,2009/02/25
2750,2009/02/26
2600,2009/03/02
2800,2009/03/10
2600,2009/03/11
2600,2009/03/12
2850,2009/03/13
2650,2009/03/17
2750,2009/03/18
2750,2009/03/19
2700,2009/03/20
2750,2009/03/23
2400,2009/03/24
2800,2009/03/25
2775,2009/03/26
3000,2009/04/01
4000,2009/05/04
4000,2009/05/05
4000,2009/05/06
4050,2009/05/07
4075,2009/05/08
4100,2009/05/11
4100,2009/05/12
4100,2009/05/13
4100,2009/05/15
4150,2009/05/19
4100,2009/05/20
4150,2009/06/15
4000,2009/06/18
3950,2009/07/01
3950,2009/07/02
3950,2009/07/03
3950,2009/07/05
4000,2009/07/06
4000,2009/07/07
4100,2009/07/08
4200,2009/07/09
4200,2009/07/10
4200,2009/07/12
3650,2009/07/13
4200,2009/07/14
4200,2009/07/16
4200,2009/07/17
4100,2009/07/19
4000,2009/07/20
3550,2009/07/21
4000,2009/07/22
3900,2009/07/24
3000,2009/07/26
1500,2009/08/09
0,2009/08/10
4500,2009/08/12
4750,2009/08/17
4500,2009/08/18
4500,2009/08/19
4500,2009/08/20
2400,2009/08/23
2500,2009/08/24
2150,2009/08/25
2500,2009/08/26
4500,2009/08/31
2400,2009/09/01
2350,2009/09/02
4375,2009/09/03
2450,2009/09/06
2400,2009/09/07
2450,2009/09/09
4150,2009/09/10
4250,2009/09/11
2400,2009/09/13
1900,2009/09/14
2400,2009/09/15
2400,2009/09/16
2300,2009/09/17
2350,2009/09/18
2150,2009/09/21
2000,2009/09/22
4050,2009/09/23
2400,2009/09/29
2400,2009/10/01
2500,2009/10/02
2500,2009/10/04
2650,2009/10/07
1900,2009/10/15
2100,2009/10/18
2250,2009/10/19
2000,2009/10/20
2100,2009/10/21
2250,2009/10/23
1700,2009/10/25
2200,2009/10/26
2200,2009/10/28
2100,2009/11/02
2150,2009/11/03
2200,2009/11/04
2100,2009/11/08
2050,2009/11/13
2050,2009/11/15
2000,2009/11/23
2150,2009/11/24
2100,2009/11/25
2250,2009/11/26
2150,2009/11/27
2150,2009/11/29
2250,2009/11/30
2150,2009/12/01
2150,2009/12/02
2150,2009/12/06
2150,2009/12/07
2150,2009/12/08
2150,2009/12/09
2150,2009/12/10
2150,2009/12/11
2100,2009/12/13
2050,2009/12/14
2050,2009/12/16
2050,2009/12/17
2300,2009/12/18
2300,2009/12/20
2650,2009/12/21
2700,2009/12/22
2650,2009/12/23
2650,2009/12/24
2650,2009/12/25
2650,2009/12/27
2650,2009/12/28
2650,2009/12/29
2650,2009/12/31
2900,2010/01/03
2800,2010/01/10
2800,2010/01/11
2750,2010/01/14
2750,2010/01/15
2700,2010/01/17
2750,2010/01/22
2900,2010/01/24
2850,2010/01/25
2800,2010/01/27
2750,2010/01/28
2750,2010/01/29
2800,2010/01/31
2750,2010/02/01
2750,2010/02/02
2750,2010/02/03
2750,2010/02/04
2750,2010/02/15
2950,2010/02/16
2600,2010/02/17
2750,2010/02/18
2750,2010/02/19
2700,2010/02/20
2900,2010/02/23
3000,2010/02/28
3000,2010/03/01
2950,2010/03/03
2800,2010/03/04
2900,2010/03/05
3050,2010/03/08
2950,2010/03/14
3000,2010/03/16
3050,2010/03/17
3150,2010/03/18
3700,2010/03/19
3700,2010/03/21
3700,2010/03/22
3600,2010/03/23
3350,2010/03/24
3550,2010/03/25
3350,2010/03/26
3250,2010/03/28
3250,2010/03/29
3250,2010/03/30
3000,2010/04/02
3000,2010/04/04
3000,2010/04/05
3000,2010/04/06
3150,2010/04/07
3200,2010/04/08
2950,2010/04/09
3100,2010/04/11
3150,2010/04/12
3200,2010/04/13
3200,2010/04/14
3250,2010/04/15
3100,2010/04/18
3050,2010/04/20
3000,2010/04/25
3150,2010/05/05
3100,2010/05/06
3200,2010/05/07
2400,2010/05/08
3250,2010/05/10
3250,2010/05/11
3350,2010/05/12
2950,2010/05/13
3700,2010/05/14
3800,2010/05/16
4000,2010/05/17
4200,2010/05/18
4250,2010/05/19
4250,2010/05/20
4200,2010/05/21
4200,2010/05/23
4250,2010/05/27
4650,2010/06/20
3650,2010/07/01
3650,2010/07/02
3650,2010/07/06
3500,2010/07/08
3700,2010/07/09
3700,2010/07/11
3700,2010/07/12
3700,2010/07/13
3700,2010/07/14
3650,2010/07/15
3650,2010/07/16
3650,2010/07/18
7500,2010/07/19
3600,2010/07/20
3600,2010/07/21
3050,2010/07/22
3800,2010/07/23
3850,2010/07/26
4250,2010/07/27
4250,2010/07/28
4050,2010/07/29
3850,2010/07/30
3550,2010/08/01
3450,2010/08/02
3150,2010/08/04
3650,2010/08/05
2850,2010/08/06
2850,2010/08/08
3750,2010/08/09
2650,2010/08/10
3050,2010/08/11
2900,2010/08/12
3000,2010/08/13
3000,2010/08/16
3000,2010/08/17
2750,2010/08/18
2650,2010/08/23
2750,2010/08/24
2750,2010/08/25
3000,2010/08/27
2000,2010/08/29
3600,2010/08/30
2900,2010/08/31
2800,2010/09/01
2800,2010/09/02
3150,2010/09/05
3050,2010/09/06
11000,2010/09/07
2800,2010/09/12
2800,2010/09/13
3400,2010/09/14
3400,2010/09/15
3400,2010/09/16
3250,2010/09/17
2900,2010/09/19
2150,2010/09/21
2400,2010/09/26
2400,2010/09/27
2500,2010/09/28
2500,2010/09/29
2400,2010/09/30
2400,2010/10/01
2400,2010/10/03
2400,2010/10/04
2400,2010/10/06
2400,2010/10/07
2300,2010/10/10
2300,2010/10/12
2300,2010/10/13
2300,2010/10/14
2200,2010/10/15
2200,2010/10/17
2200,2010/10/18
2400,2010/10/19
2200,2010/10/20
2150,2010/10/21
2200,2010/10/22
2200,2010/10/24
2200,2010/10/25
2200,2010/10/26
2400,2010/10/31
2400,2010/11/01
2400,2010/11/02
2250,2010/11/03
2400,2010/11/04
1850,2010/11/05
2300,2010/11/07
2250,2010/11/09
2100,2010/11/11
12250,2010/11/12
2350,2010/11/14
2200,2010/11/15
2150,2010/11/16
2350,2010/11/17
2400,2010/11/18
2400,2010/11/19
2250,2010/11/22
2300,2010/11/23
2350,2010/11/24
2350,2010/11/25
2300,2010/11/26
2250,2010/11/28
2300,2010/11/29
2350,2010/11/30
13000,2010/12/01
2300,2010/12/02
2300,2010/12/03
2400,2010/12/05
2300,2010/12/06
2300,2010/12/07
2300,2010/12/08
2250,2010/12/10
2100,2010/12/12
2250,2010/12/13
2300,2010/12/15
2200,2010/12/16
2250,2010/12/17
2250,2010/12/19
2150,2010/12/20
2250,2010/12/21
2200,2010/12/22
2250,2010/12/23
2200,2010/12/24
2100,2010/12/26
2350,2010/12/27
2100,2010/12/28
2050,2010/12/29
2250,2010/12/30
2250,2010/12/31
2300,2011/01/03
2300,2011/01/04
2300,2011/01/05
2500,2011/01/07
2400,2011/01/09
2500,2011/01/10
2400,2011/01/13
2350,2011/01/17
2250,2011/01/18
2400,2011/01/19
2350,2011/01/20
2300,2011/01/21
2700,2011/01/21
2500,2011/01/23
2350,2011/01/24
2350,2011/01/25
2300,2011/01/27
2650,2011/01/27
2400,2011/01/28
2250,2011/01/31
2250,2011/02/01
2250,2011/02/02
2350,2011/02/03
2250,2011/02/04
2250,2011/02/07
2080,2011/02/07
2250,2011/02/08
2250,2011/02/09
2250,2011/02/10
2250,2011/02/11
2250,2011/02/14
2250,2011/02/15
2350,2011/02/16
2250,2011/02/17
2250,2011/02/18
2350,2011/02/20
2300,2011/02/21
2250,2011/02/22
2300,2011/02/23
2300,2011/02/24
2300,2011/02/28
2300,2011/03/01
2000,2011/03/03
2400,2011/03/06
2300,2011/03/07
2400,2011/03/13
2400,2011/03/14
2400,2011/03/15
2400,2011/03/17
2400,2011/03/18
2400,2011/03/20
2300,2011/03/23
2300,2011/03/24
2300,2011/03/25
2200,2011/03/28
2300,2011/03/30
2250,2011/03/31
2300,2011/04/01
2450,2011/04/03
2400,2011/04/05
2300,2011/04/06
2250,2011/04/07
2300,2011/04/08
2400,2011/04/10
2350,2011/04/11
2300,2011/04/12
2200,2011/04/13
2100,2011/04/15
1950,2011/04/18
2150,2011/04/19
2150,2011/04/20
2150,2011/04/22
2125,2011/04/26
2050,2011/04/27
2050,2011/04/29
2050,2011/05/02
2100,2011/05/03
2050,2011/05/04
2050,2011/05/05
2050,2011/05/06
1850,2011/05/08
2100,2011/05/09
2100,2011/05/10
1900,2011/05/11
1750,2011/05/12
1850,2011/05/13
4750,2011/05/15
1950,2011/05/16
1900,2011/05/17
1950,2011/05/18
2050,2011/05/19
1900,2011/05/20
1800,2011/05/22
1900,2011/05/24
1950,2011/05/25
1850,2011/05/26
2000,2011/05/30
1950,2011/05/31
1850,2011/06/01
1750,2011/06/05
1900,2011/06/06
1950,2011/06/07
1700,2011/06/08
1750,2011/06/09
1650,2011/06/10
1650,2011/06/12
1950,2011/06/13
1950,2011/06/14
1950,2011/06/15
1650,2011/06/16
1800,2011/06/17
1650,2011/06/19
1900,2011/06/20
1650,2011/06/21
1450,2011/06/23
1450,2011/06/24
1250,2011/06/26
1200,2011/06/28
1200,2011/06/29
1200,2011/06/30
1200,2011/07/05
1200,2011/07/07
1250,2011/07/08
1200,2011/07/10
1400,2011/07/11
1450,2011/07/12
1450,2011/07/14
1450,2011/07/15
1500,2011/07/17
1500,2011/07/18
1500,2011/07/19
1500,2011/07/20
1500,2011/07/21
1500,2011/07/22
1250,2011/07/28
1350,2011/07/29
1300,2011/07/31
1300,2011/08/01
1300,2011/08/02
1300,2011/08/04
1350,2011/08/07
1300,2011/08/09
1300,2011/08/10
1300,2011/08/11
1300,2011/08/12
1300,2011/08/14
1300,2011/08/16
1300,2011/08/25
1300,2011/08/26
1300,2011/08/29
1300,2011/08/30
1300,2011/08/31
1300,2011/09/02
1800,2011/09/04
1800,2011/09/06
1750,2011/09/07
1400,2011/09/08
1250,2011/09/09
1200,2011/09/13
1150,2011/09/14
1200,2011/09/15
1150,2011/09/16
1150,2011/09/18
1150,2011/09/19
1150,2011/09/20
1150,2011/09/21
1150,2011/09/22
1150,2011/10/07
1150,2011/10/09
1150,2011/10/10
1200,2011/10/11
1250,2011/10/12
1250,2011/10/13
1250,2011/10/16
1250,2011/10/17
1250,2011/10/18
1250,2011/10/19
1250,2011/10/20
1250,2011/10/21
1050,2011/10/23
1100,2011/10/24
1100,2011/10/25
7250,2011/10/26
1200,2011/10/27
1150,2011/10/30
1250,2011/10/31
1250,2011/11/01
1200,2011/11/02
1250,2011/11/03
1250,2011/11/04
1200,2011/11/06
1150,2011/11/08
1150,2011/11/09
1050,2011/11/10
1100,2011/11/11
1100,2011/11/13
2600,2011/11/25
1100,2011/11/27
1100,2011/11/28
