Month,Delhi,Kolkata,Mumbai,Chennai
2002-06-04,29.94,29.39,33.45,31.05
2002-06-04,29.94,29.39,33.45,31.05
2002-06-16,29.18,29.63,33.72,31.3
2002-06-16,29.18,29.63,33.72,31.3
2002-07-01,29.18,29.63,33.64,31.64
2002-07-01,29.18,29.63,33.64,31.64
2002-08-01,29.18,29.63,33.64,31.64
2002-08-01,29.18,29.63,33.64,31.64
2002-08-16,29,29.44,33.44,31.44
2002-08-16,29,29.44,33.44,31.44
2002-09-01,29.2,30.64,33.65,31.66
2002-09-01,29.2,30.64,33.65,31.66
2002-09-16,29.66,31.1,34.15,32.16
2002-09-16,29.66,31.1,34.15,32.16
2002-10-01,29.91,31.35,34.42,32.42
2002-10-01,29.91,31.35,34.42,32.42
2002-10-17,30.24,31.68,34.95,32.07
2002-10-17,30.24,31.68,34.95,32.07
2002-11-01,30.26,31.7,34.98,32.8
2002-11-01,30.26,31.7,34.98,32.8
2002-11-16,29.57,31.01,34.23,32.05
2002-11-16,29.57,31.01,34.23,32.05
2002-12-01,28.91,30.42,33.63,31.45
2002-12-01,28.91,30.42,33.63,31.45
2003-01-03,29.93,31.44,34.73,32.55
2003-01-03,29.93,31.44,34.73,32.55
2003-01-16,30.33,31.84,35.18,32.99
2003-01-16,30.33,31.84,35.18,32.99
2003-02-01,30.71,32.21,35.58,33.99
2003-02-01,30.71,32.21,35.58,33.99
2003-03-01,23.1,33.61,37.08,34.89
2003-03-01,23.1,33.61,37.08,34.89
2003-03-16,33.49,35,38.59,36.39
2003-03-16,33.49,35,38.59,36.39
2003-04-01,33.49,35,35.25,36.39
2003-04-01,33.49,35,35.25,36.39
2003-04-16,32.49,34,37.25,35.48
2003-04-16,32.49,34,37.25,35.48
2003-04-26,31.49,33,36.43,34.4
2003-04-26,31.49,33,36.43,34.4
2003-05-16,30.4,31.91,35.25,33.22
2003-05-16,30.4,31.91,35.25,33.22
2003-06-01,30.3,31.81,35.14,33.11
2003-06-01,30.3,31.81,35.14,33.11
2003-08-31,32.4,35.26,37.42,35.39
2003-08-31,32.4,35.26,37.42,35.39
2003-10-16,31.7,34.5,36.66,34.36
2003-10-16,31.7,34.5,36.66,34.36
2003-12-12,32.7,35.57,37.74,35.71
2003-12-12,32.7,35.57,37.74,35.71
2003-12-31,33.7,36.61,38.83,36.79
2003-12-31,33.7,36.61,38.83,36.79
2004-06-15,35.71,38.69,40.96,38.96
2004-06-15,35.71,38.69,40.96,38.96
2004-07-31,36.81,39.83,42.15,40.15
2004-07-31,36.81,39.83,42.15,40.15
2004-11-04,39,42.1,44.49,42.51
2004-11-04,39,42.1,44.49,42.51
2004-11-15,37.84,40.89,43.23,41.25
2004-11-15,37.84,40.89,43.23,41.25
2005-04-01,37.99,40.89,43.23,41.25
2005-04-01,37.99,40.89,43.23,41.25
2005-04-05,37.99,40.89,43.23,41.25
2005-04-05,37.99,40.89,43.23,41.25
2005-06-20,40.49,43.79,45.93,44.26
2005-06-20,40.49,43.79,45.93,44.26
2005-09-06,43.49,46.9,49.16,47.49
2005-09-06,43.49,46.9,49.16,47.49
2006-06-05,47.51,51.07,53.5,51.83
2006-06-05,47.51,51.07,53.5,51.83
2006-06-20,46.85,51.07,52.71,51.83
2006-06-20,46.85,51.07,52.71,51.83
2006-11-30,44.85,48.99,50.58,49.67
2006-11-30,44.85,48.99,50.58,49.67
2007-02-16,42.85,46.92,48.45,47.51
2007-02-16,42.85,46.92,48.45,47.51
2007-03-01,42.85,46.9,48.41,47.48
2007-03-01,42.85,46.9,48.41,47.48
2007-05-16,42.85,46.86,48.38,47.44
2007-05-16,42.85,46.86,48.38,47.44
2007-06-06,43.52,46.86,48.38,47.44
2007-06-06,43.52,46.86,48.38,47.44
2008-02-15,45.52,48.95,50.51,49.61
2008-02-15,45.52,48.95,50.51,49.61
2008-05-24,45.56,48.98,50.54,49.64
2008-05-24,45.56,48.98,50.54,49.64
2008-06-06,50.56,52.2,55.88,55.07
2008-06-06,50.56,52.2,55.88,55.07
2008-07-16,50.62,52.2,55.04,55.07
2008-07-16,50.62,52.2,55.04,55.07
2008-11-06,50.62,52.2,55.04,55.07
2008-11-06,50.62,52.2,55.04,55.07
2008-12-06,45.62,47.16,49.8,49.66
2008-12-06,45.62,47.16,49.8,49.66
2009-01-29,40.62,44.05,44.55,44.24
2009-01-29,40.62,44.05,44.55,44.24
2009-07-02,44.72,48.25,48.76,48.58
2009-07-02,44.72,48.25,48.76,48.58
2010-02-27,47.43,51.15,51.68,51.59
2010-02-27,47.43,51.15,51.68,51.59
2010-04-01,47.93,51.67,52.2,52.13
2010-04-01,47.93,51.67,52.2,52.13
2010-06-26,51.43,55.32,55.88,55.92
2010-06-26,51.43,55.32,55.88,55.92
2010-09-08,51.56,55.4,55.97,56.02
2010-09-08,51.56,55.4,55.97,56.02
2010-09-21,51.83,55.69,56.25,56.31
2010-09-21,51.83,55.69,56.25,56.31
2010-10-17,52.59,56.44,57.01,57.09
2010-10-17,52.59,56.44,57.01,57.09
2010-11-02,52.59,56.47,57.01,57.09
2010-11-02,52.59,56.47,57.01,57.09
2010-11-09,52.91,56.81,57.35,57.44
2010-11-09,52.91,56.81,57.35,57.44
2010-12-16,55.87,59.9,60.46,60.65
2010-12-16,55.87,59.9,60.46,60.65
2011-01-16,58.37,62.5,63.08,63.36
2011-01-16,58.37,62.5,63.08,63.36
2011-03-02,58.37,62.5,63.08,61.93
2011-03-02,58.37,62.5,63.08,61.93
2011-05-15,63.37,67.71,68.33,67.22
2011-05-15,63.37,67.71,68.33,67.22
2011-07-01,63.7,68.01,68.62,67.5
2011-07-01,63.7,68.01,68.62,67.5
2011-09-16,66.84,71.28,71.91,70.82
2011-09-16,66.84,71.28,71.91,70.82
2011-11-04,68.64,73.15,73.81,72.73
2011-11-04,68.64,73.15,73.81,72.73
2011-11-16,66.42,70.84,71.47,70.38
2011-11-16,66.42,70.84,71.47,70.38
2011-12-01,65.64,70.03,70.66,69.55
2011-12-01,65.64,70.03,70.66,69.55
2012-05-24,73.18,77.88,78.57,77.53
2012-05-24,73.18,77.88,78.57,77.53
2012-06-03,71.16,75.81,76.45,75.4
2012-06-03,71.16,75.81,76.45,75.4
2012-06-18,70.24,75.81,76.45,75.4
2012-06-18,70.24,75.81,76.45,75.4
2012-06-29,67.78,72.74,73.35,72.27
2012-06-29,67.78,72.74,73.35,72.27
2012-07-24,68.48,73.61,74.23,73.16
2012-07-24,68.48,73.61,74.23,73.16
2012-07-25,68.48,76.13,75.14,72.19
2012-07-25,68.48,76.13,75.14,72.19
2012-08-01,68.46,76.14,75.14,72.19
2012-08-01,68.46,76.14,75.14,72.19
2012-10-09,67.9,75.44,74.43,71.48
2012-10-09,67.9,75.44,74.43,71.48
2012-10-27,68.19,75.74,74.73,71.77
2012-10-27,68.19,75.74,74.73,71.77
2012-11-16,67.24,74.55,73.53,70.57
2012-11-16,67.24,74.55,73.53,70.57
2013-01-01,67.24,75.03,74.32,70.58
2013-01-01,67.24,75.03,74.32,70.58
2013-01-16,67.56,75.03,74.32,70.58
2013-01-16,67.56,75.03,74.32,70.58
2013-01-18,67.26,74.72,74,70.26
2013-01-18,67.26,74.72,74,70.26
2013-02-16,69.06,76.59,75.89,72.17
2013-02-16,69.06,76.59,75.89,72.17
2013-03-02,70.74,78.34,77.66,73.95
2013-03-02,70.74,78.34,77.66,73.95
2013-03-16,68.34,75.84,75.14,71.41
2013-03-16,68.34,75.84,75.14,71.41
2013-04-01,68.31,75.79,75.21,71.42
2013-04-01,68.31,75.79,75.21,71.42
2013-04-02,67.29,74.72,74.14,70.34
2013-04-02,67.29,74.72,74.14,70.34
2013-04-16,66.09,73.48,72.88,69.08
2013-04-16,66.09,73.48,72.88,69.08
2013-05-01,63.09,70.35,69.73,65.9
2013-05-01,63.09,70.35,69.73,65.9
2013-05-23,63.09,70.35,71.13,65.9
2013-05-23,63.09,70.35,71.13,65.9
2013-06-01,63.99,71.29,72.08,66.85
2013-06-01,63.99,71.29,72.08,66.85
2013-06-16,66.39,73.79,74.6,69.39
2013-06-16,66.39,73.79,74.6,69.39
2013-06-29,68.58,76.1,76.9,71.71
2013-06-29,68.58,76.1,76.9,71.71
2013-07-01,68.58,75.84,75.79,71.65
2013-07-01,68.58,75.84,75.79,71.65
2013-07-15,70.44,77.76,77.73,73.6
2013-07-15,70.44,77.76,77.73,73.6
2013-08-01,71.28,78.64,78.61,74.49
2013-08-01,71.28,78.64,78.61,74.49
2013-09-01,74.1,81.57,81.57,77.48
2013-09-01,74.1,81.57,81.57,77.48
2013-09-14,76.06,83.63,83.62,79.55
2013-09-14,76.06,83.63,83.62,79.55
2013-10-01,72.4,79.51,79.49,75.68
2013-10-01,72.4,79.51,79.49,75.68
2013-11-01,71.02,78.07,78.04,74.22
2013-11-01,71.02,78.07,78.04,74.22
2013-12-21,71.52,78.6,78.56,74.71
2013-12-21,71.52,78.6,78.56,74.71
2014-01-04,72.43,79.55,79.52,75.68
2014-01-04,72.43,79.55,79.52,75.68
2014-01-05,72.43,80.2,81.31,75.71
2014-01-05,72.43,80.2,81.31,75.71
2014-03-01,73.16,80.96,82.07,76.48
2014-03-01,73.16,80.96,82.07,76.48
2014-04-01,72.26,80.13,80.89,75.49
2014-04-01,72.26,80.13,80.89,75.49
2014-04-16,71.41,79.26,80,74.6
2014-04-16,71.41,79.26,80,74.6
2014-06-07,71.51,79.36,80.11,74.71
2014-06-07,71.51,79.36,80.11,74.71
2014-06-25,71.56,79.42,80.16,74.76
2014-06-25,71.56,79.42,80.16,74.76
2014-07-01,73.6,81.43,81.75,76.93
2014-07-01,73.6,81.43,81.75,76.93
2014-08-01,72.51,80.3,80.6,75.78
2014-08-01,72.51,80.3,80.6,75.78
2014-08-15,70.33,78.03,78.32,73.47
2014-08-15,70.33,78.03,78.32,73.47
2014-08-31,68.51,76.14,76.41,71.55
2014-08-31,68.51,76.14,76.41,71.55
2014-10-01,67.86,75.46,75.73,70.87
2014-10-01,67.86,75.46,75.73,70.87
2014-10-15,66.65,74.21,74.46,69.59
2014-10-15,66.65,74.21,74.46,69.59
2014-11-01,64.24,71.68,71.91,67.01
2014-11-01,64.24,71.68,71.91,67.01
2014-12-01,63.33,70.73,70.95,66.05
2014-12-01,63.33,70.73,70.95,66.05
2014-12-16,61.33,68.65,68.86,63.94
2014-12-16,61.33,68.65,68.86,63.94
2015-01-16,61.33,68.66,68.86,63.94
2015-01-16,61.33,68.66,68.86,63.94
2015-01-17,58.91,66.64,66.36,61.38
2015-01-17,58.91,66.64,66.36,61.38
2015-02-04,56.49,64.6,63.9,58.88
2015-02-04,56.49,64.6,63.9,58.88
2015-02-16,57.31,65.29,64.81,59.85
2015-02-16,57.31,65.29,64.81,59.85
2015-03-01,60.49,67.92,68.14,63.31
2015-03-01,60.49,67.92,68.14,63.31
2015-04-02,60,67.48,67.53,62.75
2015-04-02,60,67.48,67.53,62.75
2015-04-16,59.2,66.81,66.69,61.9
2015-04-16,59.2,66.81,66.69,61.9
2015-05-01,63.16,70.44,70.84,66.08
2015-05-01,63.16,70.44,70.84,66.08
2015-05-16,66.29,73.76,74.12,69.45
2015-05-16,66.29,73.76,74.12,69.45
2015-06-16,66.93,74.42,74.78,70.12
2015-06-16,66.93,74.42,74.78,70.12
2015-07-01,66.62,74.09,74.52,69.84
2015-07-01,66.62,74.09,74.52,69.84
2015-07-16,66.9,71.57,71.97,67.29
2015-07-16,66.9,71.57,71.97,67.29
2015-08-01,64.47,69.15,69.51,64.77
2015-08-01,64.47,69.15,69.51,64.77
2015-08-16,63.2,68.1,68.24,63.49
2015-08-16,63.2,68.1,68.24,63.49
2015-09-01,61.2,66.5,68.25,61.46
2015-09-01,61.2,66.5,68.25,61.46
2015-11-01,60.7,66.11,67.77,61.02
2015-11-01,60.7,66.11,67.77,61.02
2015-11-16,61.06,66.39,68.13,61.38
2015-11-16,61.06,66.39,68.13,61.38
2015-12-01,60.48,65.93,67.55,60.8
2015-12-01,60.48,65.93,67.55,60.8
2015-12-16,59.98,65.53,67.04,60.28
2015-12-16,59.98,65.53,67.04,60.28
2016-01-01,59.35,65.12,66.4,59.77
2016-01-01,59.35,65.12,66.4,59.77
2016-01-16,59.03,64.87,66.09,59.45
2016-01-16,59.03,64.87,66.09,59.45
2016-01-19,59.99,No change,66.09,No change
2016-01-19,59.99,No change,66.09,No change
2016-02-01,59.95,64.84,66.05,59.42
2016-02-01,59.95,64.84,66.05,59.42
2016-02-18,59.63,64.64,65.73,59.1
2016-02-18,59.63,64.64,65.73,59.1
2016-03-01,56.61,62.32,62.75,56.08
2016-03-01,56.61,62.32,62.75,56.08
2016-03-10,56.61,61.35,62.75,56.07
2016-03-10,56.61,61.35,62.75,56.07
2016-03-17,59.68,63.76,65.79,59.13
2016-03-17,59.68,63.76,65.79,59.13
2016-04-05,61.87,65.48,67.96,61.32
2016-04-05,61.87,65.48,67.96,61.32
2016-04-09,No Change,No Change,66.37,No Change
2016-04-09,No Change,No Change,66.37,No Change
2016-04-16,61.13,64.9,65.63,60.58
2016-04-16,61.13,64.9,65.63,60.58
2016-05-01,62.19,65.73,66.71,61.64
2016-05-01,62.19,65.73,66.71,61.64
2016-05-17,63.02,66.44,66.12,62.47
2016-05-17,63.02,66.44,66.12,62.47
2016-06-01,65.6,68.46,70.18,65.04
2016-06-01,65.6,68.46,70.18,65.04
2016-06-16,65.65,68.5,70.23,65.09
2016-06-16,65.65,68.5,70.23,65.09
2016-07-01,64.76,67.79,69.32,64.24
2016-07-01,64.76,67.79,69.32,64.24
2016-07-16,62.51,66.03,67.11,62
2016-07-16,62.51,66.03,67.11,62
2016-08-01,61.09,64.97,65.7,60.65
2016-08-01,61.09,64.97,65.7,60.65
2016-08-16,60.09,64.18,65.04,59.65
2016-08-16,60.09,64.18,65.04,59.65
2016-09-01,63.47,66.84,68.4,63.02
2016-09-01,63.47,66.84,68.4,63.02
2016-09-16,64.21,67.42,70.64,63.76
2016-09-16,64.21,67.42,70.64,63.76
2016-10-01,64.58,67.61,71,64.13
2016-10-01,64.58,67.61,71,64.13
2016-10-05,64.72,67.72,71.12,64.24
2016-10-05,64.72,67.72,71.12,64.24
2016-10-16,66.45,69.08,72.83,65.96
2016-10-16,66.45,69.08,72.83,65.96
2016-11-06,67.62,70.24,74,67.13
2016-11-06,67.62,70.24,74,67.13
2016-11-16,65.93,68.67,72.29,65.41
2016-11-16,65.93,68.67,72.29,65.41
2016-12-01,66.1,68.81,72.46,65.58
2016-12-01,66.1,68.81,72.46,65.58
2016-12-17,68.94,71.5,75.27,68.41
2016-12-17,68.94,71.5,75.27,68.41
2017-01-02,70.6,73.13,76.91,70.07
2017-01-02,70.6,73.13,76.91,70.07
2017-01-16,71.14,73.66,77.46,74.43
2017-01-16,71.14,73.66,77.46,74.43
2017-04-01,66.29,68.97,72.66,69.28
2017-04-01,66.29,68.97,72.66,69.28
2017-04-16,68.07,70.66,77.45,71.16
2017-04-16,68.07,70.66,77.45,71.16
